i,Process10,Process20,Process30
1535,30,47,68
1536,30,47,68
1537,30,47,68
1538,30,47,68
1539,30,47,68
1540,30,47,68
1541,30,47,68
1542,30,47,68
1543,30,47,68
1544,30,47,68
1545,30,47,68
1546,30,47,68
1547,30,47,68
1548,30,47,68
1549,31,47,69
1550,31,47,69
1551,31,47,69
1552,31,47,69
1553,31,47,69
1554,31,47,69
1555,31,47,69
1556,31,47,69
1557,31,47,69
1558,31,47,69
1559,31,47,69
1560,31,47,69
1561,31,47,69
1562,31,47,70
1563,31,47,70
1564,31,47,70
1565,31,47,70
1566,31,47,70
1567,31,47,70
1568,31,47,70
1569,31,47,70
1570,31,47,70
1571,31,47,70
1572,31,47,70
1573,31,47,70
1574,31,47,70
1575,31,47,70
1576,31,47,70
1577,31,47,70
1578,31,47,70
1579,31,47,70
1580,31,47,70
1581,31,47,70
1582,31,47,70
1583,31,47,70
1584,31,47,70
1585,31,47,70
1586,31,47,70
1587,31,47,70
1588,31,47,70
1589,31,47,70
1590,31,47,70
1591,31,47,70
1592,31,47,70
1593,31,47,70
1594,31,47,70
1595,31,47,70
1596,31,47,70
1597,31,48,70
1598,31,48,70
1599,31,48,70
1600,31,48,70
1601,31,48,70
1602,31,48,70
1603,31,48,70
1604,32,49,71
1605,32,49,71
1606,32,49,71
1607,32,49,71
1608,32,49,71
1609,32,49,71
1610,32,49,71
1611,32,49,71
1612,32,49,71
1613,32,49,71
1614,32,49,71
1615,32,49,71
1616,32,49,71
1617,32,49,71
1618,32,49,71
1619,32,49,71
1620,32,49,71
1621,32,49,71
1622,32,49,71
1623,32,49,71
1624,32,49,71
1625,33,50,71
1626,33,50,71
1627,33,50,71
1628,33,50,71
1629,33,50,71
1630,33,50,71
1631,33,50,71
1632,33,50,71
1633,33,50,71
1634,33,50,71
1635,33,50,71
1636,33,50,71
1637,33,50,71
1638,33,50,71
1639,33,50,71
1640,33,50,71
1641,33,50,71
1642,33,50,71
1643,33,50,71
1644,33,50,71
1645,33,50,71
1646,33,50,71
1647,33,50,71
1648,33,50,71
1649,33,50,71
1650,33,50,71
1651,33,50,71
1652,33,50,71
1653,33,50,71
